csid	covv_accession_id
3031401618	EPI_ISL_1711766
3002650445	
3002351571	EPI_ISL_1226376
3002650510	EPI_ISL_1528301
3002351638	EPI_ISL_1318595
3002347586	EPI_ISL_1094494
3002649988	EPI_ISL_1528496
3002649683	EPI_ISL_1516244
3002349393	EPI_ISL_1273043
3031322636	EPI_ISL_747160
3031324270	
3002650734	EPI_ISL_1678339
3002648340	EPI_ISL_1823592
3002350654	EPI_ISL_1695811
3002348755	EPI_ISL_1226120
3002350827	EPI_ISL_1446669
3002348111	EPI_ISL_1094766
3002347349	EPI_ISL_1094593
3031323952	EPI_ISL_1446868
3002651249	EPI_ISL_1711773
3002348667	EPI_ISL_1226053
3002648243	EPI_ISL_1823949
3002350736	EPI_ISL_1446629
3031322633	EPI_ISL_747157
3002650338	EPI_ISL_1528321
3031324280	
3002347859	EPI_ISL_1095183
3002350648	EPI_ISL_1446574
3002348454	EPI_ISL_1273064
3002350466	EPI_ISL_1318416
3002348725	EPI_ISL_1226096
3002228897	EPI_ISL_914016
3002348868	EPI_ISL_1226210
3002348869	EPI_ISL_1226211
3002648053	EPI_ISL_1798756
3002131679	EPI_ISL_1446811
3002651084	EPI_ISL_1678326
3031323563	EPI_ISL_903807
3002349438	EPI_ISL_1273009
3002650814	EPI_ISL_1678363
3031323058	
3002348190	
3002349063	EPI_ISL_1272786
3002349060	EPI_ISL_1272795
3002649999	
3002347901	
3002349229	EPI_ISL_1272854
3002650188	EPI_ISL_1528442
3002350433	EPI_ISL_1318499
3031322817	EPI_ISL_751579
3002348016	EPI_ISL_1095244
3002648383	EPI_ISL_1824050
3002347553	EPI_ISL_1094959
3002350121	EPI_ISL_1446335
3002349062	EPI_ISL_1272789
3002348856	EPI_ISL_1226199
3002352030	
3002650392	EPI_ISL_1528319
3002647570	EPI_ISL_1823678
3002350437	EPI_ISL_1318490
3031323249	EPI_ISL_903669
3031323261	EPI_ISL_903624
3002647709	EPI_ISL_1798498
3002228866	
3002349111	EPI_ISL_1272880
3002348069	EPI_ISL_1094852
3002347423	EPI_ISL_1095292
3002650079	EPI_ISL_1678125
3002349442	EPI_ISL_1273017
3002349407	EPI_ISL_1447056
3002650137	EPI_ISL_1818073
3031324310	EPI_ISL_1094698
3002350455	EPI_ISL_1446978
3002647718	EPI_ISL_1798510
3002228907	EPI_ISL_914026
3031323860	EPI_ISL_1516326
3002347464	EPI_ISL_1273057
3002651085	EPI_ISL_1678331
3002131630	EPI_ISL_1446846
3031324149	EPI_ISL_1094345
3031324395	EPI_ISL_1094881
3002651382	EPI_ISL_1711837
3002350791	EPI_ISL_1695877
3031401614	EPI_ISL_1711760
3002351905	EPI_ISL_1447038
3002351554	EPI_ISL_1226360
3031323617	EPI_ISL_1094937
3002348577	
3002350235	EPI_ISL_1446499
3002347433	EPI_ISL_1095293
3002131660	
3031323593	EPI_ISL_1094774
3002649732	
3031323276	
3031323734	EPI_ISL_1711715
3002350760	EPI_ISL_1446609
3002349892	EPI_ISL_1318569
3031322793	EPI_ISL_751761
3031323250	EPI_ISL_903900
3031323055	EPI_ISL_751614
3002647713	EPI_ISL_1798476
3002228900	EPI_ISL_914019
3002650196	EPI_ISL_1528430
3002350757	EPI_ISL_1446618
3002348235	
3002349404	
3002350405	
3002131692	
3002651143	EPI_ISL_1678187
3002651086	EPI_ISL_1678318
3002647898	EPI_ISL_1823699
3002650763	EPI_ISL_1678055
3002647831	EPI_ISL_1823659
3002229214	EPI_ISL_1094533
3002349540	
3031323188	EPI_ISL_903611
3002649735	EPI_ISL_1516199
3002347852	EPI_ISL_1094457
3031324294	
3031322621	EPI_ISL_747146
3031324066	EPI_ISL_1225940
3002650025	EPI_ISL_1528275
3002350891	EPI_ISL_1446682
3002649745	EPI_ISL_1516213
3002647725	EPI_ISL_1798494
3031324092	EPI_ISL_1516226
3031401664	EPI_ISL_1226411
3002229017	
3031323323	EPI_ISL_903628
3002351240	EPI_ISL_1095334
3002350681	EPI_ISL_1446567
3002348623	EPI_ISL_1226015
3002349488	EPI_ISL_1447027
3002650958	EPI_ISL_1823985
3002349512	EPI_ISL_1272607
3031324374	EPI_ISL_1094791
3002649932	EPI_ISL_1516378
3002347727	EPI_ISL_1095317
3002351658	EPI_ISL_1318311
3031322623	EPI_ISL_747148
3002350347	EPI_ISL_1446982
3002647697	EPI_ISL_1798386
3031401804	
3002649694	
3002350319	EPI_ISL_1318475
3002351206	EPI_ISL_1095042
3002348564	
3002348533	
3002350684	EPI_ISL_1446563
3002350240	EPI_ISL_1446548
3002347440	EPI_ISL_1095302
3002648433	EPI_ISL_1824003
3002351602	EPI_ISL_1226400
3002650965	EPI_ISL_1823991
3002350429	EPI_ISL_1318497
3031401895	EPI_ISL_1094694
3031323569	EPI_ISL_903742
3002228909	EPI_ISL_914028
3002350789	EPI_ISL_1695857
3031323845	EPI_ISL_1516339
3031322843	EPI_ISL_751635
3031322595	EPI_ISL_747121
3002351227	EPI_ISL_1095057
3002648448	EPI_ISL_1823907
3031322664	EPI_ISL_747176
3031324407	EPI_ISL_1094353
3031401659	EPI_ISL_1226407
3002228941	EPI_ISL_1225966
3002348970	EPI_ISL_1226260
3002349891	
3002651261	EPI_ISL_1711960
3002347470	EPI_ISL_1273051
3002350478	EPI_ISL_1446992
3002131667	
3002648408	EPI_ISL_1823585
3031323056	EPI_ISL_751590
